Census Tract,State,County,Urban,2010 Population,Housing Units,Low Income,Poverty Rate,Median Family Income,Food desert distance,Is there a food desert at this distance?
48453001849,Texas,Travis,1,5627,3306,0,8.3,67040,Food Desert at 1 & 10 miles,0
48453001850,Texas,Travis,1,3890,2040,1,11.5,50746,Food Desert at 1 & 10 miles,0
48453001851,Texas,Travis,1,9078,3946,0,13.4,76179,Food Desert at 1 & 10 miles,0
48453001853,Texas,Travis,1,3255,1298,0,3.9,92407,Food Desert at 1 & 10 miles,0
48453001854,Texas,Travis,0,4915,1514,0,12.6,70625,Food Desert at 1 & 10 miles,0
48453001855,Texas,Travis,1,13259,4263,0,13.3,67468,Food Desert at 1 & 10 miles,0
48453001856,Texas,Travis,0,5308,1761,0,7.8,86017,Food Desert at 1 & 10 miles,0
48453001857,Texas,Travis,1,5623,2146,1,10.6999999999999,61250,Food Desert at 1 & 10 miles,1
48453001858,Texas,Travis,1,15316,4914,0,1.9,107828,Food Desert at 1 & 10 miles,0
48453001859,Texas,Travis,0,1344,466,0,8.69999999999999,94438,Food Desert at 1 & 10 miles,0
48453001860,Texas,Travis,1,3859,1550,1,15.5,55034,Food Desert at 1 & 10 miles,1
48453001861,Texas,Travis,1,4545,1511,0,7.6,80882,Food Desert at 1 & 10 miles,0
48453001862,Texas,Travis,1,5705,1947,0,11.1,100398,Food Desert at 1 & 10 miles,0
48453001863,Texas,Travis,1,3401,1885,1,27.6,34922,Food Desert at 1 & 10 miles,1
48453001864,Texas,Travis,1,2814,1532,0,12.5,62232,Food Desert at 1 & 10 miles,0
48453001901,Texas,Travis,1,5207,2904,0,8.19999999999999,114493,Food Desert at 1 & 10 miles,0
48453001908,Texas,Travis,0,8403,3442,0,12.3,144868,Food Desert at 1 & 10 miles,0
48453001910,Texas,Travis,1,4210,1792,0,5.9,132177,Food Desert at 1 & 10 miles,0
48453001911,Texas,Travis,1,2825,1793,0,5.6,89286,Food Desert at 1 & 10 miles,0
48453001912,Texas,Travis,1,4162,1555,0,8.19999999999999,250000,Food Desert at 1 & 10 miles,0
48453001913,Texas,Travis,1,4865,1691,0,2.6,217500,Food Desert at 1 & 10 miles,0
48453001914,Texas,Travis,1,6013,2720,0,3,140804,Food Desert at 1 & 10 miles,0
48453001915,Texas,Travis,1,1469,750,0,5.7,77295,Food Desert at 1 & 10 miles,0
48453001916,Texas,Travis,1,3188,961,0,2.3,222583,Food Desert at 1 & 10 miles,0
48453001917,Texas,Travis,1,4709,1668,0,6.9,164805,Food Desert at 1 & 10 miles,0
48453001918,Texas,Travis,1,2291,907,0,7.6,172750,Food Desert at 1 & 10 miles,0
48453001919,Texas,Travis,1,3573,1343,0,2.3,167283,Food Desert at 1 & 10 miles,0
48453002002,Texas,Travis,1,2865,1322,0,8.69999999999999,92024,Food Desert at 1 & 10 miles,0
48453002003,Texas,Travis,1,3653,1400,1,30.8,43105,Food Desert at 1 & 10 miles,0
48453002004,Texas,Travis,1,2191,1326,1,14.4,36141,Food Desert at 1 & 10 miles,0
48453002005,Texas,Travis,1,4729,2276,1,32.7,49375,Food Desert at 1 & 10 miles,0
48453002104,Texas,Travis,1,2867,1164,1,29.6999999999999,56875,Food Desert at 1 & 10 miles,0
48453002105,Texas,Travis,1,4536,1750,1,32.8999999999999,28050,Food Desert at 1 & 10 miles,0
48453002106,Texas,Travis,1,3027,1179,1,25.8,63281,Food Desert at 1 & 10 miles,0
48453002107,Texas,Travis,1,3712,1259,1,30.5,45245,Food Desert at 1 & 10 miles,0
48453002108,Texas,Travis,1,3143,1273,1,38.6,43693,Food Desert at 1 & 10 miles,1
48453002109,Texas,Travis,1,3830,1500,1,24.3,43009,Food Desert at 1 & 10 miles,1
48453002110,Texas,Travis,1,4222,1283,1,37.3999999999999,35711,Food Desert at 1 & 10 miles,1
48453002111,Texas,Travis,1,4747,1506,1,36.1,35139,Food Desert at 1 & 10 miles,1
48453002112,Texas,Travis,1,4996,1729,1,35.3999999999999,33406,Food Desert at 1 & 10 miles,0
48453002113,Texas,Travis,1,3571,1260,1,23.8,63611,Food Desert at 1 & 10 miles,0
48453002201,Texas,Travis,1,1905,554,1,23.5,39500,Food Desert at 1 & 10 miles,0
48453002202,Texas,Travis,1,8039,2186,1,36.1,30175,Food Desert at 1 & 10 miles,1
48453002207,Texas,Travis,1,8379,2403,1,18.8,55200,Food Desert at 1 & 10 miles,1
48453002208,Texas,Travis,1,7525,1779,1,35.8999999999999,38239,Food Desert at 1 & 10 miles,1
48453002209,Texas,Travis,0,8082,2534,1,17.8999999999999,58285,Food Desert at 1 & 10 miles,0
48453002210,Texas,Travis,0,3492,1008,0,19.8999999999999,68812,Food Desert at 1 & 10 miles,0
48453002211,Texas,Travis,1,2220,635,1,17.3999999999999,55667,Food Desert at 1 & 10 miles,1
48453002212,Texas,Travis,0,567,167,1,0,56250,Food Desert at 1 & 10 miles,0
