CensusTract,State,County,Urban,POP2010,OHU2010,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20
48453001912,Texas,Travis,True,4162,1555,False,False,False,False,False,8.19999999999999,250000,True,True,True,True,True,False,False
48453001913,Texas,Travis,True,4865,1691,False,False,False,False,False,2.6,217500,True,True,True,True,True,False,False
48453001914,Texas,Travis,True,6013,2720,False,False,False,False,False,3,140804,True,True,True,True,True,False,False
48453001915,Texas,Travis,True,1469,750,False,False,False,False,False,5.7,77295,True,True,True,True,True,False,False
48453001916,Texas,Travis,True,3188,961,False,False,False,False,False,2.3,222583,True,True,True,True,True,False,False
48453001917,Texas,Travis,True,4709,1668,False,False,False,False,False,6.9,164805,True,True,True,True,True,False,False
48453001918,Texas,Travis,True,2291,907,False,False,False,False,False,7.6,172750,True,True,True,True,True,False,False
48453001919,Texas,Travis,True,3573,1343,False,False,False,False,False,2.3,167283,False,True,False,True,False,False,False
48453002002,Texas,Travis,True,2865,1322,False,False,False,False,False,8.69999999999999,92024,False,True,False,True,False,False,False
48453002003,Texas,Travis,True,3653,1400,False,True,False,False,True,30.8,43105,False,True,False,True,False,False,False
48453002004,Texas,Travis,True,2191,1326,False,True,False,False,True,14.4,36141,False,True,False,True,False,False,False
48453002005,Texas,Travis,True,4729,2276,False,True,False,True,True,32.7,49375,False,True,False,True,False,False,False
48453002104,Texas,Travis,True,2867,1164,False,False,False,False,True,29.6999999999999,56875,False,False,False,False,False,False,False
48453002105,Texas,Travis,True,4536,1750,False,False,False,False,True,32.8999999999999,28050,False,False,False,False,False,False,False
48453002106,Texas,Travis,True,3027,1179,False,True,False,True,True,25.8,63281,False,True,False,True,False,False,False
48453002107,Texas,Travis,True,3712,1259,False,True,False,False,True,30.5,45245,False,True,False,True,False,False,False
48453002108,Texas,Travis,True,3143,1273,True,True,True,False,True,38.6,43693,True,True,True,True,True,False,False
48453002109,Texas,Travis,True,3830,1500,True,True,True,True,True,24.3,43009,True,True,True,True,True,False,False
48453002110,Texas,Travis,True,4222,1283,True,True,True,True,True,37.3999999999999,35711,True,True,True,True,True,False,False
48453002111,Texas,Travis,True,4747,1506,True,True,True,True,True,36.1,35139,True,True,True,True,True,False,False
48453002112,Texas,Travis,True,4996,1729,False,True,False,False,True,35.3999999999999,33406,False,True,False,True,False,False,False
48453002113,Texas,Travis,True,3571,1260,False,True,False,False,True,23.8,63611,False,True,False,True,False,False,False
48453002201,Texas,Travis,True,1905,554,False,True,False,False,True,23.5,39500,False,True,False,True,False,False,False
48453002202,Texas,Travis,True,8039,2186,True,True,True,True,True,36.1,30175,True,True,True,True,True,False,False
48453002207,Texas,Travis,True,8379,2403,True,True,True,True,True,18.8,55200,True,True,True,True,True,False,False
48453002208,Texas,Travis,True,7525,1779,True,True,True,False,True,35.8999999999999,38239,True,True,True,True,True,False,False
48453002209,Texas,Travis,False,8082,2534,False,False,False,False,True,17.8999999999999,58285,False,False,False,False,False,False,False
48453002210,Texas,Travis,False,3492,1008,False,False,False,False,False,19.8999999999999,68812,False,False,False,False,False,False,False
48453002211,Texas,Travis,True,2220,635,True,True,True,False,True,17.3999999999999,55667,True,True,True,True,True,False,False
48453002212,Texas,Travis,False,567,167,False,False,False,False,True,0,56250,False,False,False,False,False,False,False
48453002304,Texas,Travis,True,2794,1214,False,False,False,False,True,38.5,19770,False,False,False,False,False,False,False
48453002307,Texas,Travis,True,5270,2457,True,True,True,True,True,25.6999999999999,35753,True,True,True,True,True,False,False
48453002308,Texas,Travis,True,6353,2554,False,True,False,False,True,30.5,33711,False,True,False,True,False,False,False
48453002310,Texas,Travis,True,3242,919,True,True,True,False,True,43.1,35639,True,True,True,True,True,False,False
48453002312,Texas,Travis,True,7157,2115,False,True,False,False,True,40,31591,False,True,False,True,False,False,False
48453002313,Texas,Travis,True,4311,1939,True,True,True,True,True,23,37581,True,True,True,True,True,False,False
48453002314,Texas,Travis,True,4467,2136,False,True,False,True,True,40.7999999999999,24034,False,True,False,True,False,False,False
48453002315,Texas,Travis,True,2941,1221,False,True,False,False,True,42.5,30650,False,True,False,True,False,False,False
48453002316,Texas,Travis,True,4787,1806,False,False,False,False,True,41.1,18605,False,False,False,False,False,False,False
48453002317,Texas,Travis,True,5181,1838,False,True,False,True,True,66.5999999999999,33125,False,True,False,True,False,False,False
48453002318,Texas,Travis,True,6451,2226,False,True,False,True,True,60.3999999999999,11769,False,True,False,True,False,False,False
48453002319,Texas,Travis,True,1945,0,True,True,True,False,True,71.4,0,True,True,True,True,True,False,False
48453002402,Texas,Travis,True,7082,3175,False,True,False,False,True,20.6999999999999,47981,False,True,False,True,False,False,False
48453002403,Texas,Travis,True,2616,1077,False,True,False,False,True,17,49976,False,True,False,True,False,False,False
48453002407,Texas,Travis,True,4491,1799,False,False,False,False,False,4.9,86680,True,True,True,True,True,False,False
48453002409,Texas,Travis,True,3180,1200,False,True,False,False,True,17,44655,False,True,False,True,False,False,False
48453002410,Texas,Travis,True,3773,1577,False,False,False,False,True,25.3999999999999,39471,False,False,False,False,False,False,False
48453002411,Texas,Travis,True,6161,1529,True,True,True,True,True,41.5,30911,True,True,True,True,True,False,False
48453002412,Texas,Travis,True,5782,1331,True,True,True,False,True,25.5,45833,True,True,True,True,True,False,False
48453002413,Texas,Travis,True,4455,1173,True,True,True,False,True,43.5,30585,True,True,True,True,True,False,False
48453002419,Texas,Travis,True,3890,1793,False,True,False,False,True,32.3999999999999,26667,False,True,False,True,False,False,False
48453002421,Texas,Travis,True,7443,3284,False,False,False,False,False,12,64583,True,True,True,True,True,False,False
48453002422,Texas,Travis,True,5472,2240,False,True,False,False,True,20.8999999999999,44732,False,True,False,True,False,False,False
48453002423,Texas,Travis,True,5383,2048,True,True,True,False,True,10.1999999999999,57309,True,True,True,True,True,False,False
48453002424,Texas,Travis,True,3379,1395,False,True,False,False,True,19.8999999999999,54798,False,True,False,True,False,False,False
48453002425,Texas,Travis,True,2798,1061,False,False,False,False,False,2,73482,False,True,False,True,False,False,False
48453002426,Texas,Travis,True,7490,2140,False,False,False,False,False,9.6,71975,True,True,True,True,True,False,False
48453002427,Texas,Travis,True,7995,2337,True,True,True,False,True,29,40031,True,True,True,True,True,False,False
48453002428,Texas,Travis,True,5618,2439,False,False,False,False,False,6.8,62168,True,True,True,True,True,False,False
48453002429,Texas,Travis,True,752,405,False,False,False,False,False,13.1,100909,True,True,True,True,True,False,False
48453002430,Texas,Travis,True,3422,963,True,True,True,False,True,18.1,50594,True,True,True,True,True,False,False
48453002431,Texas,Travis,False,7110,2146,False,False,False,False,True,22.1,51169,False,False,False,False,False,False,False
48453002432,Texas,Travis,False,2070,602,False,False,False,False,True,30.8,41833,False,False,False,False,False,False,False
48453002433,Texas,Travis,False,5981,1715,False,False,False,False,True,18.1999999999999,51520,False,False,False,False,False,False,False
48453002434,Texas,Travis,False,1718,501,False,False,False,False,True,26.1999999999999,52361,False,False,False,False,False,False,False
48453002435,Texas,Travis,False,7560,2049,False,False,False,False,True,25,45853,False,False,False,False,False,False,False
48453002436,Texas,Travis,False,2672,784,False,False,False,False,True,24.6999999999999,37850,False,False,False,False,False,False,False
48453002500,Texas,Travis,True,5163,2687,False,False,False,False,False,7.6,110875,True,True,True,True,True,False,False
48453980000,Texas,Travis,False,0,0,False,False,False,False,False,0,0,False,False,False,False,False,False,False
